category,id,display_name,recommended_filename,current_asset_path,artwork_status,source_file
archetype,balanced-raider,Balanced Raider,archetype_balanced_raider.webp,,missing,lib/features/trading_hub/arc_raiders/data/arc_player_archetype_catalog.dart
archetype,quest-driven-raider,Quest-driven Raider,archetype_quest_driven_raider.webp,,missing,lib/features/trading_hub/arc_raiders/data/arc_player_archetype_catalog.dart
archetype,blueprint-grinder,Blueprint Grinder,archetype_blueprint_grinder.webp,,missing,lib/features/trading_hub/arc_raiders/data/arc_player_archetype_catalog.dart
archetype,helper-support-player,Helper / Support Player,archetype_helper_support_player.webp,,missing,lib/features/trading_hub/arc_raiders/data/arc_player_archetype_catalog.dart
archetype,trader-resource-runner,Trader / Resource Runner,archetype_trader_resource_runner.webp,,missing,lib/features/trading_hub/arc_raiders/data/arc_player_archetype_catalog.dart
archetype,pvp-hunter,PvP Hunter,archetype_pvp_hunter.webp,,missing,lib/features/trading_hub/arc_raiders/data/arc_player_archetype_catalog.dart
archetype,rat-hunter,Rat Hunter,archetype_rat_hunter.webp,,missing,lib/features/trading_hub/arc_raiders/data/arc_player_archetype_catalog.dart
archetype,casual-squad-player,Casual Squad Player,archetype_casual_squad_player.webp,,missing,lib/features/trading_hub/arc_raiders/data/arc_player_archetype_catalog.dart
squad_intent,flexible,Flexible,squad_intent_flexible.webp,,missing,lib/reg/onboarding_basic_profile_screen.dart
squad_intent,squad-up,Squad up,squad_intent_squad_up.webp,,missing,lib/reg/onboarding_basic_profile_screen.dart
squad_intent,quest-team,Quest team,squad_intent_quest_team.webp,,missing,lib/reg/onboarding_basic_profile_screen.dart
squad_intent,blueprint-runs,Blueprint runs,squad_intent_blueprint_runs.webp,,missing,lib/reg/onboarding_basic_profile_screen.dart
squad_intent,trade-focused,Trade focused,squad_intent_trade_focused.webp,,missing,lib/reg/onboarding_basic_profile_screen.dart
squad_intent,trials,Trials,squad_intent_trials.webp,,missing,lib/reg/onboarding_basic_profile_screen.dart
squad_intent,solo-for-now,Solo for now,squad_intent_solo_for_now.webp,,missing,lib/reg/onboarding_basic_profile_screen.dart
social_energy,depends-on-the-day,Depends on the day,social_energy_depends_on_the_day.webp,,missing,lib/reg/onboarding_basic_profile_screen.dart
social_energy,chatty-and-outgoing,Chatty and outgoing,social_energy_chatty_and_outgoing.webp,,missing,lib/reg/onboarding_basic_profile_screen.dart
social_energy,quiet-but-cooperative,Quiet but cooperative,social_energy_quiet_but_cooperative.webp,,missing,lib/reg/onboarding_basic_profile_screen.dart
