RelativePath,HasScaffold,HasListView,HasGridView,HasCarousel,HasLayoutBuilder,HasMediaQuery,HasElectricBorder,HasGlobalShell,HasFixedHeight,HasFixedWidth,MigrationStatus,LayoutSystem
lib\build\app_drawer.dart,False,True,False,False,False,True,False,False,False,False,global-theme-and-shell-covered,ArcLayoutTokens/ArcPageViewport/AppTheme
lib\build\app_entry_gate.dart,True,False,False,False,False,False,False,False,False,False,global-theme-and-shell-covered,ArcLayoutTokens/ArcPageViewport/AppTheme
lib\build\auth\auth_screen.dart,True,False,False,False,False,True,True,False,False,False,global-theme-and-shell-covered,ArcLayoutTokens/ArcPageViewport/AppTheme
lib\build\drawer_item.dart,False,False,False,False,False,False,False,False,False,False,global-theme-and-shell-covered,ArcLayoutTokens/ArcPageViewport/AppTheme
lib\build\home_screen.dart,True,False,False,False,True,True,False,False,False,True,global-theme-and-shell-covered,ArcLayoutTokens/ArcPageViewport/AppTheme
lib\build\models\trading_profile.dart,False,False,False,False,False,False,False,False,False,False,global-theme-and-shell-covered,ArcLayoutTokens/ArcPageViewport/AppTheme
lib\build\splash_screen.dart,True,False,False,False,False,True,False,False,False,False,global-theme-and-shell-covered,ArcLayoutTokens/ArcPageViewport/AppTheme
lib\build\trading_hub_screen.dart,False,False,False,False,False,False,False,False,False,False,global-theme-and-shell-covered,ArcLayoutTokens/ArcPageViewport/AppTheme
lib\features\auth\session\uag_biometric_relock_screen.dart,True,False,False,False,False,False,False,False,False,False,global-theme-and-shell-covered,ArcLayoutTokens/ArcPageViewport/AppTheme
lib\features\feature_access_gate.dart,True,False,False,False,False,False,False,False,False,True,global-theme-and-shell-covered,ArcLayoutTokens/ArcPageViewport/AppTheme
lib\features\legal\screens\arc_data_attribution_screen.dart,True,True,False,False,False,False,False,False,False,False,global-theme-and-shell-covered,ArcLayoutTokens/ArcPageViewport/AppTheme
lib\features\legal\screens\legal_hub_screen.dart,True,True,False,False,False,False,False,False,False,False,global-theme-and-shell-covered,ArcLayoutTokens/ArcPageViewport/AppTheme
lib\features\legal\screens\privacy_policy_screen.dart,True,False,False,False,True,False,False,False,False,True,global-theme-and-shell-covered,ArcLayoutTokens/ArcPageViewport/AppTheme
lib\features\legal\screens\terms_of_use_screen.dart,True,False,False,False,True,False,False,False,False,True,global-theme-and-shell-covered,ArcLayoutTokens/ArcPageViewport/AppTheme
lib\features\legal\screens\trader_code_of_conduct_screen.dart,True,False,False,False,True,False,False,False,False,True,global-theme-and-shell-covered,ArcLayoutTokens/ArcPageViewport/AppTheme
lib\features\monetisation\screens\monetisation_screen.dart,True,True,False,False,True,False,False,False,False,False,global-theme-and-shell-covered,ArcLayoutTokens/ArcPageViewport/AppTheme
lib\features\monetisation\screens\uag_plans_screen.dart,True,True,False,False,True,False,False,False,False,True,global-theme-and-shell-covered,ArcLayoutTokens/ArcPageViewport/AppTheme
lib\features\profile\models\user_profile.dart,False,False,False,False,False,False,False,False,False,False,global-theme-and-shell-covered,ArcLayoutTokens/ArcPageViewport/AppTheme
lib\features\profile\screens\profile_settings_screen.dart,True,False,False,False,True,False,False,False,False,True,global-theme-and-shell-covered,ArcLayoutTokens/ArcPageViewport/AppTheme
lib\features\trading_hub\arc_raiders\data\arc_blueprint_grid_view_preferences.dart,False,False,True,False,False,False,False,False,False,False,global-theme-and-shell-covered,ArcLayoutTokens/ArcPageViewport/AppTheme
