source_file,classification,background_system,migration_status,exception_reason
lib\build\app_entry_gate.dart,user/admin route or full-screen surface,ArcGlobalVisualSystem + transparent Scaffold,migrated,
lib\build\auth\auth_screen.dart,user/admin route or full-screen surface,ArcGlobalVisualSystem + transparent Scaffold,migrated,
lib\build\home_screen.dart,user/admin route or full-screen surface,ArcGlobalVisualSystem + transparent Scaffold,migrated,
lib\build\models\trading_profile.dart,user/admin route or full-screen surface,ArcGlobalVisualSystem + transparent Scaffold,migrated,
lib\build\splash_screen.dart,user/admin route or full-screen surface,ArcGlobalVisualSystem + transparent Scaffold,migrated,
lib\build\trading_hub_screen.dart,user/admin route or full-screen surface,ArcGlobalVisualSystem + transparent Scaffold,migrated,
lib\features\auth\session\uag_biometric_relock_screen.dart,user/admin route or full-screen surface,ArcGlobalVisualSystem + transparent Scaffold,migrated,
lib\features\feature_access_gate.dart,user/admin route or full-screen surface,ArcGlobalVisualSystem + transparent Scaffold,migrated,
lib\features\legal\screens\arc_data_attribution_screen.dart,user/admin route or full-screen surface,ArcGlobalVisualSystem + transparent Scaffold,migrated,
lib\features\legal\screens\legal_hub_screen.dart,user/admin route or full-screen surface,ArcGlobalVisualSystem + transparent Scaffold,migrated,
lib\features\legal\screens\privacy_policy_screen.dart,user/admin route or full-screen surface,ArcGlobalVisualSystem + transparent Scaffold,migrated,
lib\features\legal\screens\terms_of_use_screen.dart,user/admin route or full-screen surface,ArcGlobalVisualSystem + transparent Scaffold,migrated,
lib\features\legal\screens\trader_code_of_conduct_screen.dart,user/admin route or full-screen surface,ArcGlobalVisualSystem + transparent Scaffold,migrated,
lib\features\monetisation\screens\monetisation_screen.dart,user/admin route or full-screen surface,ArcGlobalVisualSystem + transparent Scaffold,migrated,
lib\features\monetisation\screens\uag_plans_screen.dart,user/admin route or full-screen surface,ArcGlobalVisualSystem + transparent Scaffold,migrated,
lib\features\profile\models\user_profile.dart,user/admin route or full-screen surface,ArcGlobalVisualSystem + transparent Scaffold,migrated,
lib\features\profile\screens\profile_settings_screen.dart,user/admin route or full-screen surface,ArcGlobalVisualSystem + transparent Scaffold,migrated,
lib\features\trading_hub\arc_raiders\data\arc_blueprint_grid_view_preferences.dart,user/admin route or full-screen surface,ArcGlobalVisualSystem + transparent Scaffold,migrated,
lib\features\trading_hub\arc_raiders\data\arc_command_centre_engine.dart,user/admin route or full-screen surface,ArcGlobalVisualSystem + transparent Scaffold,migrated,
lib\features\trading_hub\arc_raiders\data\arc_command_centre_view_mapper.dart,user/admin route or full-screen surface,ArcGlobalVisualSystem + transparent Scaffold,migrated,
lib\features\trading_hub\arc_raiders\data\arc_compact_tracker_card_metrics.dart,user/admin route or full-screen surface,ArcGlobalVisualSystem + transparent Scaffold,migrated,
lib\features\trading_hub\arc_raiders\data\arc_help_centre_catalog.dart,user/admin route or full-screen surface,ArcGlobalVisualSystem + transparent Scaffold,migrated,
lib\features\trading_hub\arc_raiders\data\arc_my_hub_module_catalog.dart,user/admin route or full-screen surface,ArcGlobalVisualSystem + transparent Scaffold,migrated,
lib\features\trading_hub\arc_raiders\data\arc_profile_completion_evaluator.dart,user/admin route or full-screen surface,ArcGlobalVisualSystem + transparent Scaffold,migrated,
lib\features\trading_hub\arc_raiders\models\arc_command_centre_models.dart,user/admin route or full-screen surface,ArcGlobalVisualSystem + transparent Scaffold,migrated,
lib\features\trading_hub\arc_raiders\models\arc_match_rider_profile.dart,user/admin route or full-screen surface,ArcGlobalVisualSystem + transparent Scaffold,migrated,
lib\features\trading_hub\arc_raiders\models\arc_trader_profile.dart,user/admin route or full-screen surface,ArcGlobalVisualSystem + transparent Scaffold,migrated,
lib\features\trading_hub\arc_raiders\models\trading_profile.dart,user/admin route or full-screen surface,ArcGlobalVisualSystem + transparent Scaffold,migrated,
lib\features\trading_hub\arc_raiders\raid_planner\data\raid_planner_blueprint_rules.dart,user/admin route or full-screen surface,ArcGlobalVisualSystem + transparent Scaffold,migrated,
lib\features\trading_hub\arc_raiders\raid_planner\data\raid_planner_engine.dart,user/admin route or full-screen surface,ArcGlobalVisualSystem + transparent Scaffold,migrated,
lib\features\trading_hub\arc_raiders\raid_planner\data\raid_planner_event_schedule.dart,user/admin route or full-screen surface,ArcGlobalVisualSystem + transparent Scaffold,migrated,
lib\features\trading_hub\arc_raiders\raid_planner\models\raid_planner_models.dart,user/admin route or full-screen surface,ArcGlobalVisualSystem + transparent Scaffold,migrated,
lib\features\trading_hub\arc_raiders\raid_planner\repositories\raid_planner_repository.dart,user/admin route or full-screen surface,ArcGlobalVisualSystem + transparent Scaffold,migrated,
lib\features\trading_hub\arc_raiders\raid_planner\screens\raid_planner_hunt_targets_screen.dart,user/admin route or full-screen surface,ArcGlobalVisualSystem + transparent Scaffold,migrated,
lib\features\trading_hub\arc_raiders\raid_planner\screens\raid_planner_screen.dart,user/admin route or full-screen surface,ArcGlobalVisualSystem + transparent Scaffold,migrated,
lib\features\trading_hub\arc_raiders\repositories\arc_trader_profile_repository.dart,user/admin route or full-screen surface,ArcGlobalVisualSystem + transparent Scaffold,migrated,
lib\features\trading_hub\arc_raiders\screens\arc_availability_screen.dart,user/admin route or full-screen surface,ArcGlobalVisualSystem + transparent Scaffold,migrated,
lib\features\trading_hub\arc_raiders\screens\arc_away_screen.dart,user/admin route or full-screen surface,ArcGlobalVisualSystem + transparent Scaffold,migrated,
