attachment_name,slot_type,compatible_weapons,slot_matrix_conflicts,status,source
Compensator I,Muzzle Mod,Ferro; Torrente; Tempest; Arpeggio; Bettina,,structurally_aligned,lib/features/trading_hub/arc_raiders/data/arc_weapon_attachment_database.dart
Muzzle Brake I,Muzzle Mod,Arpeggio; Ferro,,structurally_aligned,lib/features/trading_hub/arc_raiders/data/arc_weapon_attachment_database.dart
Shotgun Choke I,Shotgun Muzzle Mod,Vulcano; Il Toro,,structurally_aligned,lib/features/trading_hub/arc_raiders/data/arc_weapon_attachment_database.dart
Angled Grip I,Underbarrel Mod,Vulcano; Osprey; Ferro; Venator; Il Toro,,structurally_aligned,lib/features/trading_hub/arc_raiders/data/arc_weapon_attachment_database.dart
Vertical Grip I,Underbarrel Mod,Vulcano; Ferro; Bobcat; Il Toro; Tempest,,structurally_aligned,lib/features/trading_hub/arc_raiders/data/arc_weapon_attachment_database.dart
Extended Light Mag I,Light Magazine Mod,Bobcat,,structurally_aligned,lib/features/trading_hub/arc_raiders/data/arc_weapon_attachment_database.dart
Extended Medium Mag I,Medium Magazine Mod,Arpeggio; Venator; Torrente; Renegade; Osprey; Tempest,Renegade,authoritative_mapping_preserved_with_slot_matrix_conflict,lib/features/trading_hub/arc_raiders/data/arc_weapon_attachment_database.dart
Extended Shotgun Mag I,Shotgun Magazine Mod,Il Toro; Vulcano,,structurally_aligned,lib/features/trading_hub/arc_raiders/data/arc_weapon_attachment_database.dart
Stable Stock I,Stock Mod,Vulcano; Ferro; Bobcat; Il Toro; Torrente; Arpeggio; Rattler,,structurally_aligned,lib/features/trading_hub/arc_raiders/data/arc_weapon_attachment_database.dart
Compensator II,Muzzle Mod,Arpeggio; Renegade; Bobcat; Torrente; Burletta; Anvil; Osprey; Ferro,,structurally_aligned,lib/features/trading_hub/arc_raiders/data/arc_weapon_attachment_database.dart
Muzzle Brake II,Muzzle Mod,Arpeggio; Ferro; Tempest; Anvil; Osprey,,structurally_aligned,lib/features/trading_hub/arc_raiders/data/arc_weapon_attachment_database.dart
Shotgun Choke II,Shotgun Muzzle Mod,Vulcano; Il Toro,,structurally_aligned,lib/features/trading_hub/arc_raiders/data/arc_weapon_attachment_database.dart
Silencer I,Muzzle Mod,Bobcat; Osprey; Torrente; Tempest; Arpeggio; Anvil; Burletta; Renegade,,structurally_aligned,lib/features/trading_hub/arc_raiders/data/arc_weapon_attachment_database.dart
Angled Grip II,Underbarrel Mod,Vulcano; Tempest; Osprey; Bobcat,,structurally_aligned,lib/features/trading_hub/arc_raiders/data/arc_weapon_attachment_database.dart
