id,name,slot_type,bench_level,craftable,find_only,materials,effects,compatible_weapons,asset_path
compensator-i,Compensator I,Muzzle Mod,1,true,false,6x Metal Parts; 1x Wires,25% reduced per-shot dispersion,Ferro; Torrente; Tempest; Arpeggio; Bettina,assets/arc_raiders/scrappy_resources/compensator_i.webp
muzzle-brake-i,Muzzle Brake I,Muzzle Mod,1,true,false,6x Metal Parts; 1x Wires,15% reduced horizontal recoil; 15% reduced vertical recoil,Arpeggio; Ferro,assets/arc_raiders/scrappy_resources/muzzle_brake_i.webp
shotgun-choke-i,Shotgun Choke I,Shotgun Muzzle Mod,1,true,false,6x Metal Parts; 1x Wires,20% reduced base dispersion,Vulcano; Il Toro,assets/arc_raiders/scrappy_resources/shotgun_choke_i.webp
angled-grip-i,Angled Grip I,Underbarrel Mod,1,true,false,6x Plastic Parts; 1x Duct Tape,20% reduced horizontal recoil,Vulcano; Osprey; Ferro; Venator; Il Toro,assets/arc_raiders/scrappy_resources/angled_grip_i.webp
vertical-grip-i,Vertical Grip I,Underbarrel Mod,1,true,false,6x Plastic Parts; 1x Duct Tape,20% reduced vertical recoil,Vulcano; Ferro; Bobcat; Il Toro; Tempest,assets/arc_raiders/scrappy_resources/vertical_grip_i.webp
extended-light-mag-i,Extended Light Mag I,Light Magazine Mod,1,true,false,6x Plastic Parts; 1x Steel Spring,+5 magazine size,Bobcat,assets/arc_raiders/scrappy_resources/extended_light_mag_i.webp
extended-medium-mag-i,Extended Medium Mag I,Medium Magazine Mod,1,true,false,6x Plastic Parts; 1x Steel Spring,+4 magazine size,Arpeggio; Venator; Torrente; Renegade; Osprey; Tempest,assets/arc_raiders/scrappy_resources/extended_medium_mag_i.webp
extended-shotgun-mag-i,Extended Shotgun Mag I,Shotgun Magazine Mod,1,true,false,6x Plastic Parts; 1x Steel Spring,+2 magazine size,Il Toro; Vulcano,assets/arc_raiders/scrappy_resources/extended_shotgun_mag_i.webp
stable-stock-i,Stable Stock I,Stock Mod,1,true,false,7x Rubber Parts; 1x Duct Tape,40% reduced recoil recovery time; 40% reduced dispersion recovery time,Vulcano; Ferro; Bobcat; Il Toro; Torrente; Arpeggio; Rattler,assets/arc_raiders/scrappy_resources/stable_stock_i.webp
compensator-ii,Compensator II,Muzzle Mod,2,true,false,8x Metal Parts; 1x Wires,35% reduced per-shot dispersion,Arpeggio; Renegade; Bobcat; Torrente; Burletta; Anvil; Osprey; Ferro,assets/arc_raiders/blueprints/compensator-ii.webp
muzzle-brake-ii,Muzzle Brake II,Muzzle Mod,2,true,false,1x Mechanical Components; 1x Duct Tape,20% reduced horizontal recoil; 20% reduced vertical recoil,Arpeggio; Ferro; Tempest; Anvil; Osprey,assets/arc_raiders/blueprints/muzzle-brake-ii.webp
shotgun-choke-ii,Shotgun Choke II,Shotgun Muzzle Mod,2,true,false,1x Mechanical Components; 1x Duct Tape,30% reduced base dispersion,Vulcano; Il Toro,assets/arc_raiders/blueprints/shotgun-choke-ii.webp
silencer-i,Silencer I,Muzzle Mod,2,true,false,1x Mechanical Components; 1x Wires,20% reduced noise,Bobcat; Osprey; Torrente; Tempest; Arpeggio; Anvil; Burletta; Renegade,assets/arc_raiders/blueprints/silencer-i.webp
