"Id","CanonicalCandidate","DuplicateCount","Locations"
"acoustic-guitar","lib\features\trading_hub\arc_raiders\data\unified_item_index.dart","2","lib\features\trading_hub\arc_raiders\data\trade_items_data.dart | lib\features\trading_hub\arc_raiders\data\unified_item_index.dart"
"adrenaline-shot","lib\features\trading_hub\arc_raiders\data\unified_item_index.dart","2","lib\features\trading_hub\arc_raiders\data\trade_items_data.dart | lib\features\trading_hub\arc_raiders\data\unified_item_index.dart"
"advanced-arc-powercell","lib\features\trading_hub\arc_raiders\data\unified_item_index.dart","3","lib\features\trading_hub\arc_raiders\data\arc_trade_catalog.dart | lib\features\trading_hub\arc_raiders\data\trade_items_data.dart | lib\features\trading_hub\arc_raiders\data\unified_item_index.dart"
"advanced-electrical-components","lib\features\trading_hub\arc_raiders\data\unified_item_index.dart","3","lib\features\trading_hub\arc_raiders\data\arc_trade_catalog.dart | lib\features\trading_hub\arc_raiders\data\trade_items_data.dart | lib\features\trading_hub\arc_raiders\data\unified_item_index.dart"
"advanced-mechanical-components","lib\features\trading_hub\arc_raiders\data\unified_item_index.dart","3","lib\features\trading_hub\arc_raiders\data\arc_trade_catalog.dart | lib\features\trading_hub\arc_raiders\data\trade_items_data.dart | lib\features\trading_hub\arc_raiders\data\unified_item_index.dart"
"agave","lib\features\trading_hub\arc_raiders\data\unified_item_index.dart","4","lib\features\trading_hub\arc_raiders\data\arc_scrappy_food_queue_data.dart | lib\features\trading_hub\arc_raiders\data\arc_trade_catalog.dart | lib\features\trading_hub\arc_raiders\data\trade_items_data.dart | lib\features\trading_hub\arc_raiders\data\unified_item_index.dart"
"agave-juice","lib\features\trading_hub\arc_raiders\data\unified_item_index.dart","2","lib\features\trading_hub\arc_raiders\data\trade_items_data.dart | lib\features\trading_hub\arc_raiders\data\unified_item_index.dart"
"alien-duck","lib\features\trading_hub\arc_raiders\data\unified_item_index.dart","2","lib\features\trading_hub\arc_raiders\data\trade_items_data.dart | lib\features\trading_hub\arc_raiders\data\unified_item_index.dart"
"ancient-fort-security-code","lib\features\trading_hub\arc_raiders\data\unified_item_index.dart","2","lib\features\trading_hub\arc_raiders\data\arc_trade_catalog.dart | lib\features\trading_hub\arc_raiders\data\unified_item_index.dart"
"angled-grip-i","lib\features\trading_hub\arc_raiders\data\unified_item_index.dart","2","lib\features\trading_hub\arc_raiders\data\arc_trade_catalog.dart | lib\features\trading_hub\arc_raiders\data\unified_item_index.dart"
